season,field_code,ice_season_length
2012,600B3,0
2012,LB025,23
2012,LB028,24
2012,LD027,41
2012,LD028,50
2012,LD029,0
2012,LE026,2
2012,LE027,0
2012,LF028,6
2012,LG018,15
2012,LG019,8
2012,LG027,7
2012,LG028,128
2012,LG029,52
2012,LG030,164
2012,LG030,0
2012,LG031,92
2012,LH028,10
2012,LH029,0
2012,LN025,11
2012,LN026,0
2012,LN026,14
2012,LN027,7
2012,LN028,39
2012,LN028,14
2012,LP025,8
2012,LP026,0
2012,LP028,63
2012,LP028,11
2012,LT027,98
2012,LT027,49
2012,LT028,3
2012,LT029,10
2012,LV024,43
2012,LV025,20
2012,LV026,69
2012,LV026,0
2012,LV027,143
2012,LV027,7
2012,LV028,31
2012,LV028,21
2012,LV029,9
2012,LX022,16
2012,LX023,0
2012,LX023,17
2012,LX023,0
2012,LX023,39
2012,LX024,0
2012,LX024,38
2012,LX024,1
2012,LX024,63
2012,LX024,0
2012,LX024,0
2012,LX024,65
2012,LX025,0
2012,LX025,31
2012,LX026,0
2012,LX026,2
2012,LX026,109
2012,LX026,5
2012,LX027,110
2012,LX027,0
2012,LX027,93
2012,LX028,0
2012,LX028,0
2012,LX029,5
2012,LX029,0
2012,LZ018,19
2012,LZ022,4
2012,LZ023,4
2012,LZ024,0
2012,LZ025,7
2012,LZ025,0
2012,LZ025,14
2012,LZ025,104
2012,LZ026,74
2012,LZ026,13
2012,LZ026,44
2012,LZ026,144
2012,LZ026,0
2012,LZ026,0
2012,LZ027,116
2012,LZ027,17
2012,LZ028,0
2012,LZ028,44
2012,LZ029,6
2012,LZ029,0
2012,MA023,0
2012,MA024,33
2012,MA024,77
2012,MA025,91
2012,MA026,0
2012,MA026,0
2012,MA026,113
2012,MA026,12
2012,MA027,7
2012,MA027,0
2012,MA027,29
2012,MA027,74
2012,MA027,0
2012,MA028,0
2012,MA028,49
2012,MA029,0
2012,MB024,119
2012,MB025,3
2012,MB025,144
2012,MB026,133
2012,MB027,109
2012,MB028,80
2012,MB029,0
2012,MD019,103
2012,MF019,2
2012,MF020,37
2012,MF021,0
2012,MG019,28
2012,MG020,10
2012,MG020,0
2012,MG021,116
2012,MG022,88
2012,MM011,7
2012,MM011,169
2012,MM012,18
2012,MM012,126
2012,MM013,1
2012,MN013,0
2012,MN013,0
2012,MN013,135
2012,MT007,16
2012,MT008,0
2012,MT010,22
2012,MV010,73
2012,MV011,60
2012,MV012,16
2012,MX008,94
2012,MX008,0
2012,MX009,123
2012,MX009,119
2012,MX009,129
2012,MX009,84
2012,MX010,37
2012,MX011,4
2012,MX011,0
2012,MX011,0
2012,MX012,0
2012,MX012,0
2012,MZ008,231
2012,MZ008,10
2012,MZ008,0
2012,MZ008,6
2012,MZ009,111
2012,MZ009,0
2012,MZ009,22
2012,MZ010,104
2012,MZ010,0
2012,MZ010,48
2012,MZ011,91
2012,MZ011,4
2012,MZ011,1
2012,NA008,33
2012,NA008,12
2012,NA008,0
2012,NA008,133
2012,NA008,12
2012,NA009,1
2012,NA009,88
2012,NB006,0
2012,NB007,0
2012,NB007,34
2012,NB007,111
2012,NB008,0
2012,NB008,0
2012,NB008,0
2012,NB008,107
2012,NB009,14
2012,NB009,56
2012,ND007,35
2012,ND007,14
2012,ND007,0
2012,ND007,126
2012,ND007,102
2012,ND008,7
2012,ND008,46
2012,ND008,63
2012,ND008,11
2012,ND008,48
2012,ND008,126
2012,ND008,4
2012,ND009,1
2012,NG004,0
2012,NG005,0
2012,NG005,0
2012,NG006,21
2012,NG006,32
2012,NG007,58
2012,NH004,15
2012,NH004,56
2012,NH005,39
2012,NH006,67
2012,NH007,14
2012,NH007,77
2012,NH007,4
2012,NM003,127
2012,NM003,5
2012,NM004,85
2012,NM005,89
2012,NM006,108
2012,NM006,5
2012,NN003,0
2012,NN004,138
2012,NN004,28
2012,NN005,134
2012,NN005,38
2012,NN006,139
2012,NN006,45
2012,NN007,133
2012,NN007,40
2012,NN007,0
2013,600B3,0
2013,KE019,6
2013,LB023,29
2013,LB023,27
2013,LD021,0
2013,LD023,29
2013,LD024,0
2013,LD028,21
2013,LF019,0
2013,LG018,28
2013,LG028,108
2013,LG029,4
2013,LG030,195
2013,LG031,154
2013,LH018,6
2013,LH019,3
2013,LN025,0
2013,LN026,31
2013,LN027,4
2013,LN027,0
2013,LN027,0
2013,LN028,28
2013,LN028,0
2013,LP025,4
2013,LP026,0
2013,LP027,0
2013,LP028,28
2013,LP028,72
2013,LP028,36
2013,LT026,27
2013,LT027,79
2013,LT027,2
2013,LT027,0
2013,LT028,73
