,season,field_code,sellers_locality,last_catch_day
0,2012,600B3,Sermiligaaq,261
1,2012,LB025,Ikamiut,245
2,2012,LB028,Qasigiannguit,246
3,2012,LD027,Qasigiannguit,246
4,2012,LD028,Qasigiannguit,260
5,2012,LD029,Qasigiannguit,215
6,2012,LE026,Qasigiannguit,175
7,2012,LE027,Qasigiannguit,229
8,2012,LF028,Ilimanaq,217
9,2012,LG018,Qeqertarsuaq,225
10,2012,LG019,Qeqertarsuaq,217
11,2012,LG027,Qasigiannguit,229
12,2012,LG028,Ilulissat,286
13,2012,LG029,Ilulissat,225
14,2012,LG030,Ilulissat,285
15,2012,LG030,Qasigiannguit,215
16,2012,LG031,Ilulissat,286
17,2012,LH028,Qeqertaq,323
18,2012,LH029,Ilulissat,122
19,2012,LN025,Saqqaq,219
20,2012,LN026,Ilulissat,224
21,2012,LN026,Saqqaq,223
22,2012,LN027,Qeqertaq,176
23,2012,LN028,Qeqertaq,222
24,2012,LN028,Saqqaq,211
25,2012,LP025,Saqqaq,223
26,2012,LP026,Saqqaq,211
27,2012,LP028,Qeqertaq,230
28,2012,LP028,Saqqaq,222
29,2012,LT027,Ikerasak,257
30,2012,LT027,Uummannaq,236
31,2012,LT028,Ikerasak,218
32,2012,LT029,Ikerasak,225
33,2012,LV024,Uummannaq,251
34,2012,LV025,Uummannaq,228
35,2012,LV026,Ikerasak,253
36,2012,LV026,Uummannaq,219
37,2012,LV027,Ikerasak,302
38,2012,LV027,Uummannaq,183
39,2012,LV028,Ikerasak,229
40,2012,LV028,Niaqornat,277
41,2012,LV029,Ikerasak,210
42,2012,LX022,Qaarsut,226
43,2012,LX023,Ilulissat,222
44,2012,LX023,Qaarsut,226
45,2012,LX023,Qasigiannguit,226
46,2012,LX023,Uummannaq,247
47,2012,LX024,Ikerasak,216
48,2012,LX024,Niaqornat,252
49,2012,LX024,Nuugaatsiaq,209
50,2012,LX024,Qaarsut,271
51,2012,LX024,Qasigiannguit,244
52,2012,LX024,Ukkusissat,224
53,2012,LX024,Uummannaq,273
54,2012,LX025,Saattut,247
55,2012,LX025,Uummannaq,252
56,2012,LX026,Niaqornat,183
57,2012,LX026,Qasigiannguit,232
58,2012,LX026,Saattut,275
59,2012,LX026,Uummannaq,210
60,2012,LX027,Ikerasak,299
61,2012,LX027,Niaqornat,198
62,2012,LX027,Saattut,275
63,2012,LX028,Ikerasak,180
64,2012,LX028,Ukkusissat,194
65,2012,LX029,Ikerasak,236
66,2012,LX029,Uummannaq,210
67,2012,LZ018,Niaqornat,227
68,2012,LZ022,Qaarsut,226
69,2012,LZ023,Qaarsut,226
70,2012,LZ024,Saattut,256
71,2012,LZ025,Niaqornat,250
72,2012,LZ025,Nuugaatsiaq,247
73,2012,LZ025,Qasigiannguit,231
74,2012,LZ025,Saattut,272
75,2012,LZ026,Nuugaatsiaq,237
76,2012,LZ026,Qaarsut,209
77,2012,LZ026,Qasigiannguit,223
