seasonal_year,sellers_locality,vessel_type,field_code,longitude,latitude
2012,Aasiaat,water,LN027,-51.375,69.9375
2012,Aasiaat,water,LA021,-52.875,68.5625
2012,Aasiaat,water,LA020,-53.125,68.5625
2012,Aasiaat,water,LG028,-51.125,69.1875
2012,Aasiaat,water,LA022,-52.625,68.5625
2012,Aasiaat,water,KT020,-53.125,68.0625
2012,Aasiaat,water,LD021,-52.875,68.8125
2012,Aasiaat,water,LB022,-52.625,68.6875
2012,Aasiaat,water,LH028,-51.125,69.3125
2012,Aasiaat,water,KX018,-53.625,68.3125
2012,Aasiaat,water,LB021,-52.875,68.6875
2012,Aasiaat,water,LD022,-52.625,68.8125
2012,Aasiaat,water,LB020,-53.125,68.6875
2012,Aasiaat,water,KV019,-53.375,68.1875
2012,Aasiaat,water,LE019,-53.375,68.9375
2012,Aasiaat,water,LF019,-53.375,69.0625
2012,Aasiaat,water,LD020,-53.125,68.8125
2012,Aasiaat,water,LB024,-52.125,68.6875
2012,Aasiaat,water,LB023,-52.375,68.6875
2012,Aasiaat,water,LD023,-52.375,68.8125
2012,Aasiaat,water,LA019,-53.375,68.5625
2012,Aasiaat,water,LD025,-51.875,68.8125
2012,Aasiaat,water,KZ018,-53.625,68.4375
2012,Aasiaat,water,LN025,-51.875,69.9375
2012,Akunnaaq,water,LD023,-52.375,68.8125
2012,Akunnaaq,water,LB024,-52.125,68.6875
2012,Akunnaaq,water,LP024,-52.125,70.0625
2012,Akunnaaq,water,LB023,-52.375,68.6875
2012,Akunnaaq,water,JB023,-52.375,63.9375
2012,Akunnaaq,water,LB025,-51.875,68.6875
2012,Akunnaaq,water,LD024,-52.125,68.8125
2012,Akunnaaq,water,LD022,-52.625,68.8125
2012,Akunnaaq,water,LD025,-51.875,68.8125
2012,Akunnaaq,water,LD021,-52.875,68.8125
2012,Akunnaaq,water,LD026,-51.625,68.8125
2012,Akunnaaq,water,LB022,-52.625,68.6875
2012,Akunnaaq,water,LD019,-53.375,68.8125
2012,Akunnaaq,water,LG018,-53.625,69.1875
2012,Akunnaaq,water,LA021,-52.875,68.5625
2012,Akunnaaq,water,LE022,-52.625,68.9375
2012,Akunnaaq,water,LH028,-51.125,69.3125
2012,Akunnaaq,water,LG028,-51.125,69.1875
2012,Ammassivik,water,GR049,-45.875,60.6875
2012,Ammassivik,water,GR048,-46.125,60.6875
2012,Ammassivik,water,GP049,-45.875,60.5625
2012,Ammassivik,water,GS050,-45.625,60.8125
2012,Ammassivik,water,GS049,-45.875,60.8125
2012,Ammassivik,water,GT051,-45.375,60.9375
2012,Arsuk,water,GX038,-48.625,61.1875
