sellers_locality,ice_season_trend,lat,lon
Siorapaluk,-7.169696969696961,77.79478301,-70.5236472
Qeqertat,5.19428713363196,77.49445418,-66.67101974
Qaanaaq,2.7537245950579745,77.46714195,-69.22230166
Savissivik,7.783132530120675,76.01828138,-65.0203611
Kullorsuaq,0.6241382172661661,74.57753368,-57.22874653
"Ikerasaarsuk, Upernavik",4.000000000000625,73.5272221,-56.42189331
Nutaarmiut,-3.0673071089091657,73.51609827,-56.43054847
Innaarsuit,-7.181818181817764,73.19800918,-56.01493732
Naajaat,-0.6911559514862897,73.14213494,-55.81567168
Upernavik,-2.0918549658435994,72.78347803,-56.13741849
Kangersuatsiaq,-3.2000000000000544,72.3791134,-55.54336915
Upernavik Kujalleq,1.9053475935831168,72.15714052,-55.53468012
Nuugaatsiaq,-5.197872340425806,71.53682905,-53.19612101
Illorsuit,30.710368663596178,71.23972222,-53.54929055
Ukkusissat,-6.465546917684898,71.04994753,-51.88932583
Saattut,-1.3916394167034964,70.80922489,-51.6277346
Niaqornat,-2.18181818181817,70.79002082,-53.66223672
Qaarsut,-0.0848171086848244,70.72891292,-52.64059264
Uummannaq,-1.4393878637946154,70.6823702,-52.13489108
Ikerasak,-4.660611085611896,70.50211508,-51.29979512
Saqqaq,3.6400214421676442,70.00983468,-51.95939141
Qeqertaq,-5.121930044244257,69.99778088,-51.30519353
Kangerluk,,69.48587245,-53.94646516
Oqaatsut,-12.57142857142909,69.34191375,-51.00449772
Qeqertarsuaq,3.9900293255132797,69.25260353,-53.52277641
Ilulissat,-5.8163009404393495,69.21198334,-51.09615415
Ilimanaq,-3.378151260505182,69.07805646,-51.11457398
Kitsissuarsuit,,68.85952923,-53.11863439
Qasigiannguit,-2.5336046001832444,68.82368968,-51.19543573
Akunnaaq,-2.03353436278043,68.74312431,-52.33635385
Aasiaat,-1.1138790035590451,68.7078453,-52.8523477
Ikamiut,-0.1591218691152223,68.63518842,-51.82739338
Kangaatsiaq,-5.135483870967562,68.3095619,-53.45600227
Attu,3.115384615384797,68.3095619,-53.45600227
Iginniarfik,-2.3749999999999005,68.14853935,-53.17570805
"Ikerasaarsuk, Kangaatsiaq",,68.13989251,-53.44989759
Sisimiut,16.999999999999655,66.93693722,-53.67020718
Sarfannguit,-2.9565217391299043,66.89591565,-52.86233304
Sermiligaaq,0.0,65.91321849,-36.37990668
Kangaamiut,,65.82800664,-53.34688386
Kulusuk,,65.56854907,-37.18005379
Nuuk,7.679166666666667,64.17953206,-51.72590677
Paamiut,,62.00511181,-49.6487588
