seasonal_year,sellers_locality,ice-only,majority-ice,majority-water,water-only,"Couples, total","Families, total","Single people, total"
2012,Aasiaat,,,,39404.75,306692,188537,126930
2012,Akunnaaq,,,,76830.0,225812,141474,101786
2012,Arsuk,,,,194720.5,325489,223081,155876
2012,Attu,,,,196703.515,216288,153535,92036
2012,Iginniarfik,,,,60045.365000000005,263936,186522,70402
2012,Ikamiut,33540.0,,186836.05,91331.125,263729,212232,114388
2012,Ikerasak,1565.75,99258.875,169049.25,118836.05,251935,173610,107335
2012,Ilimanaq,,,199302.65,135054.6,237968,161402,121296
2012,Illorsuit,,38779.0,126711.5,80504.5,364036,207309,131848
2012,Ilulissat,,20980.85,231755.95,305280.0,338809,223671,141709
2012,Innaarsuit,114895.0,198067.4,185299.5,6223.8,341253,232586,136703
2012,Kangaamiut,,,,152801.115,254716,197885,146342
2012,Kangaatsiaq,,,,175827.88,238146,158650,97759
2012,Kangersuatsiaq,,,60926.5,49933.0,202487,148342,84353
2012,Kitsissuarsuit,,,,180860.0,230967,165003,95568
2012,Kullorsuaq,65228.5,100870.65,27436.5,4298.5,216729,150965,78367
2012,Maniitsoq,,,,59636.630000000005,330309,212462,136288
2012,Naajaat,50020.0,89674.45,139376.9,32218.0,271741,181373,99221
2012,Nanortalik,,,,15899.75,287554,179936,119064
2012,Narsaq,,,,45307.715,275725,178652,122140
2012,Niaqornaarsuk,,,,174075.0,220441,138456,84580
2012,Niaqornat,,96153.0,68426.0,28260.875,270185,175896,108547
2012,Nutaarmiut,,29823.1,66626.9,,194851,139557,104998
2012,Nuugaatsiaq,32916.25,122227.75,70318.0,155895.0,299986,172758,111501
2012,Nuuk,,,,131258.15,461317,284028,186941
2012,Oqaatsut,,,,200120.35,295133,175344,95484
2012,Paamiut,,,,275256.3,304935,191188,129870
2012,Qaarsut,5205.0,,109258.07,185109.375,265791,186493,128671
2012,Qaqortoq,,,,93105.55,333791,201395,131148
2012,Qasigiannguit,24705.625,,105429.5,97778.55,299161,202239,124189
2012,Qeqertaq,,,172887.25,85260.0,309591,209263,122773
2012,Qeqertarsuaq,,,94994.875,103706.5,...,...,...
2012,Qeqertarsuatsiaat,,,,318014.75,305789,202986,147859
