sellers_locality,seasonal_year,vessel_type,ppk
Aasiaat,2012,water,16.44525193344195
Aasiaat,2013,water,13.043049978583317
Aasiaat,2014,ice,23.5
Aasiaat,2014,water,20.461772214040256
Aasiaat,2015,water,15.395299145299145
Aasiaat,2016,ice,19.0
Aasiaat,2016,water,15.926959543273087
Aasiaat,2017,ice,7.0
Aasiaat,2017,water,13.675212241849728
Aasiaat,2018,water,19.23845320172299
Aasiaat,2019,ice,20.0
Aasiaat,2019,water,15.057945559629635
Aasiaat,2020,water,15.670962196959334
Aasiaat,2021,ice,13.875
Aasiaat,2021,water,18.120158139649664
Aasiaat,2022,ice,25.5
Aasiaat,2022,water,20.250497365113517
Akunnaaq,2012,water,13.132481052177221
Akunnaaq,2013,ice,16.633333333333333
Akunnaaq,2013,water,13.204379870029875
Akunnaaq,2014,ice,19.712727272727275
Akunnaaq,2014,water,21.586021505376344
Akunnaaq,2015,water,17.386659436008678
Akunnaaq,2016,ice,13.340909090909092
Akunnaaq,2016,water,17.980572597137016
Akunnaaq,2017,ice,8.714285714285714
Akunnaaq,2017,water,18.766742846378182
Akunnaaq,2018,water,19.211354918772564
Akunnaaq,2019,water,13.473069812048962
Akunnaaq,2020,water,11.54375
Akunnaaq,2021,ice,14.632113821138212
Akunnaaq,2021,water,14.643941178615089
Akunnaaq,2022,ice,23.50574712643678
Akunnaaq,2022,water,17.552295918367346
Alluitsup Paa,2013,water,18.000032962241395
Alluitsup Paa,2014,water,14.41
Alluitsup Paa,2015,water,18.380503370861703
Alluitsup Paa,2016,water,25.199029126213592
Alluitsup Paa,2017,water,8.113636363636363
Alluitsup Paa,2018,water,8.0
Alluitsup Paa,2019,water,8.643805309734514
Alluitsup Paa,2020,water,17.16355140186916
Alluitsup Paa,2021,water,15.23076923076923
Alluitsup Paa,2022,water,14.986666666666668
Ammassivik,2012,water,6.097525319566635
Ammassivik,2013,water,12.123392792615222
Ammassivik,2019,water,9.0
Ammassivik,2021,water,15.5
Arsuk,2012,water,15.644000234515929
Arsuk,2013,water,13.004335260115607
Arsuk,2014,water,14.36390977443609
Arsuk,2015,water,13.401315789473685
Arsuk,2016,water,21.193903070091128
Arsuk,2017,water,15.357665628316184
Arsuk,2018,water,12.263986500102984
Arsuk,2019,water,8.516296141735811
Arsuk,2020,water,18.67338909411011
Arsuk,2021,water,18.244143158796625
Arsuk,2022,water,22.544642857142858
Atammik,2012,water,10.443804386333122
Atammik,2013,water,9.370200064536947
Atammik,2014,water,10.344186050126389
Atammik,2015,water,10.103135643539341
Atammik,2016,water,7.736036561649164
Atammik,2017,water,7.972533849129594
Atammik,2018,water,8.559446632591918
Atammik,2019,water,8.99766355140187
Atammik,2020,water,11.141604010025063
Atammik,2021,water,11.32161753590325
Atammik,2022,water,9.339270386266094
Attu,2012,water,16.299482205508998
Attu,2013,water,11.391501748352157
Attu,2014,ice,7.0
Attu,2014,water,14.161538461538461
Attu,2015,water,14.420884292337734
Attu,2016,water,15.240448765085887
Attu,2017,ice,6.0
Attu,2017,water,10.51063829787234
Attu,2018,ice,6.0
Attu,2018,water,14.622197721717495
Attu,2019,water,16.944657194260657
Attu,2020,water,9.60907928681519
Attu,2021,water,13.029992254596339
Attu,2022,water,15.316696799151734
Eqalugaarsuit,2012,water,10.559580491159931
Eqalugaarsuit,2013,water,17.972477064220183
Eqalugaarsuit,2014,water,13.76923076923077
Eqalugaarsuit,2015,water,18.583333333333332
