,seasonal_year,sellers_locality,vessel_type,field_code
0,2012,Aasiaat,water,LA019
1,2012,Aasiaat,water,LA020
2,2012,Aasiaat,water,LB020
3,2012,Aasiaat,water,LB021
4,2012,Aasiaat,water,LB022
5,2012,Aasiaat,water,LB023
6,2012,Aasiaat,water,LB024
7,2012,Aasiaat,water,LD020
8,2012,Aasiaat,water,LD021
9,2012,Aasiaat,water,LD022
10,2012,Aasiaat,water,LD023
11,2012,Aasiaat,water,LD025
12,2012,Aasiaat,water,LE019
13,2012,Aasiaat,water,LF019
14,2012,Akunnaaq,water,JB023
15,2012,Akunnaaq,water,LB022
16,2012,Akunnaaq,water,LB023
17,2012,Akunnaaq,water,LB024
18,2012,Akunnaaq,water,LB025
19,2012,Akunnaaq,water,LD022
20,2012,Akunnaaq,water,LD025
21,2012,Akunnaaq,water,LD026
22,2012,Ammassivik,water,GP049
23,2012,Ammassivik,water,GR049
24,2012,Arsuk,water,GV040
25,2012,Arsuk,water,GV041
26,2012,Arsuk,water,GX038
27,2012,Arsuk,water,GX039
28,2012,Arsuk,water,GX040
29,2012,Arsuk,water,GX049
30,2012,Arsuk,water,HA038
31,2012,Arsuk,water,HE034
32,2012,Atammik,water,JF024
33,2012,Atammik,water,JG024
34,2012,Atammik,water,JH024
35,2012,Atammik,water,JK024
36,2012,Atammik,water,JL024
37,2012,Atammik,water,JL025
38,2012,Atammik,water,JL026
39,2012,Atammik,water,JM023
40,2012,Eqalugaarsuit,water,GP049
41,2012,Eqalugaarsuit,water,GR045
42,2012,Eqalugaarsuit,water,GR048
43,2012,Eqalugaarsuit,water,GR049
44,2012,Eqalugaarsuit,water,GR050
45,2012,Eqalugaarsuit,water,GS049
46,2012,Eqalugaarsuit,water,GS050
47,2012,Ikamiut,water,JD027
48,2012,Ikamiut,water,JE024
49,2012,Ikamiut,water,JE025
50,2012,Ikamiut,water,JE027
51,2012,Ikamiut,water,JF024
52,2012,Ikamiut,water,LB023
53,2012,Ikamiut,water,LB024
54,2012,Ikamiut,water,LB025
55,2012,"Ikerasaarsuk, Kangaatsiaq",water,LD020
56,2012,"Ikerasaarsuk, Kangaatsiaq",water,LD021
57,2012,"Ikerasaarsuk, Kangaatsiaq",water,LF019
58,2012,Ikerasak,water,LT027
59,2012,Ikerasak,water,LV027
60,2012,Ikerasak,water,LX023
61,2012,Ilimanaq,water,LF028
62,2012,Ilimanaq,water,LH028
63,2012,Illorsuit,water,LX024
64,2012,Illorsuit,water,LZ026
65,2012,Illorsuit,water,MD019
66,2012,Illorsuit,water,MD020
67,2012,Ilulissat,water,LD020
68,2012,Ilulissat,water,LF027
69,2012,Ilulissat,water,LF028
70,2012,Ilulissat,water,LG027
71,2012,Ilulissat,water,LG028
72,2012,Ilulissat,water,LG029
73,2012,Ilulissat,water,LH027
74,2012,Ilulissat,water,LH028
75,2012,Ilulissat,water,LH029
76,2012,Ilulissat,water,LJ027
77,2012,Ilulissat,water,LK027
78,2012,Ilulissat,water,LN027
79,2012,Ilulissat,water,LN028
80,2012,Ilulissat,water,LN029
81,2012,Innaarsuit,ice,MZ008
82,2012,Innaarsuit,water,MB010
83,2012,Innaarsuit,water,MX009
84,2012,Innaarsuit,water,MZ008
85,2012,Innaarsuit,water,MZ009
86,2012,Innaarsuit,water,MZ010
87,2012,Innaarsuit,water,NA010
88,2012,Innaarsuit,water,NA011
89,2012,Innaarsuit,water,ND009
90,2012,Itilleq,water,KE019
91,2012,Kangaamiut,water,JA025
92,2012,Kangaamiut,water,JB026
93,2012,Kangaamiut,water,JD026
94,2012,Kangaamiut,water,JE024
