"locality","unit","family type","type of income","time","Family income"
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",225505
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",229932
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",229136
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",238146
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",248063
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",251100
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",248627
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",252678
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",260905
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",264502
"All Greenland","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",272416
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",352873
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",361452
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",360682
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",376031
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",393571
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",398722
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",392945
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",405547
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",420912
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",424953
"All Greenland","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",440204
"All Greenland","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",148026
"All Greenland","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",150262
"All Greenland","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",150048
"All Greenland","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",154476
"All Greenland","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",160767
"All Greenland","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",164255
"All Greenland","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",164978
