field_code,longitude,latitude
VZ353,-79.875,87.4375
VZ354,-79.625,87.4375
VZ355,-79.375,87.4375
VZ356,-79.125,87.4375
VZ357,-78.875,87.4375
VZ358,-78.625,87.4375
VZ359,-78.375,87.4375
VZ360,-78.125,87.4375
VZ361,-77.875,87.4375
VZ362,-77.625,87.4375
VZ363,-77.375,87.4375
VZ364,-77.125,87.4375
VZ365,-76.875,87.4375
VZ366,-76.625,87.4375
VZ367,-76.375,87.4375
VZ368,-76.125,87.4375
VZ369,-75.875,87.4375
VZ370,-75.625,87.4375
VZ371,-75.375,87.4375
VZ372,-75.125,87.4375
VZ373,-74.875,87.4375
VZ374,-74.625,87.4375
VZ375,-74.375,87.4375
VZ376,-74.125,87.4375
VZ377,-73.875,87.4375
VZ378,-73.625,87.4375
VZ379,-73.375,87.4375
VZ380,-73.125,87.4375
VZ381,-72.875,87.4375
VZ382,-72.625,87.4375
VZ383,-72.375,87.4375
VZ384,-72.125,87.4375
VZ385,-71.875,87.4375
VZ386,-71.625,87.4375
VZ387,-71.375,87.4375
VZ388,-71.125,87.4375
VZ389,-70.875,87.4375
VZ390,-70.625,87.4375
VZ391,-70.375,87.4375
VZ392,-70.125,87.4375
VZ393,-69.875,87.4375
VZ394,-69.625,87.4375
VZ395,-69.375,87.4375
VZ396,-69.125,87.4375
VZ397,-68.875,87.4375
VZ398,-68.625,87.4375
VZ399,-68.375,87.4375
VZ400,-68.125,87.4375
VZ401,-67.875,87.4375
VZ402,-67.625,87.4375
VZ403,-67.375,87.4375
VZ404,-67.125,87.4375
VZ405,-66.875,87.4375
VZ406,-66.625,87.4375
VZ407,-66.375,87.4375
VZ408,-66.125,87.4375
VZ409,-65.875,87.4375
VZ410,-65.625,87.4375
VZ411,-65.375,87.4375
VZ412,-65.125,87.4375
VZ413,-64.875,87.4375
VZ414,-64.625,87.4375
VZ415,-64.375,87.4375
VZ416,-64.125,87.4375
VZ417,-63.875,87.4375
VZ418,-63.625,87.4375
VZ419,-63.375,87.4375
VZ420,-63.125,87.4375
VZ421,-62.875,87.4375
VZ422,-62.625,87.4375
VZ423,-62.375,87.4375
VZ424,-62.125,87.4375
VZ425,-61.875,87.4375
VZ426,-61.625,87.4375
VZ427,-61.375,87.4375
VZ428,-61.125,87.4375
VZ429,-60.875,87.4375
VZ430,-60.625,87.4375
VZ431,-60.375,87.4375
VZ432,-60.125,87.4375
VZ433,-59.875,87.4375
VZ434,-59.625,87.4375
VZ435,-59.375,87.4375
VZ436,-59.125,87.4375
VZ437,-58.875,87.4375
VZ438,-58.625,87.4375
VZ439,-58.375,87.4375
VZ440,-58.125,87.4375
VZ001,-57.875,87.4375
VZ002,-57.625,87.4375
VZ003,-57.375,87.4375
VZ004,-57.125,87.4375
VZ005,-56.875,87.4375
VZ006,-56.625,87.4375
VZ007,-56.375,87.4375
VZ008,-56.125,87.4375
VZ009,-55.875,87.4375
VZ010,-55.625,87.4375
VZ011,-55.375,87.4375
VZ012,-55.125,87.4375
VZ013,-54.875,87.4375
VZ014,-54.625,87.4375
VZ015,-54.375,87.4375
VZ016,-54.125,87.4375
VZ017,-53.875,87.4375
VZ018,-53.625,87.4375
VZ019,-53.375,87.4375
VZ020,-53.125,87.4375
VZ021,-52.875,87.4375
VZ022,-52.625,87.4375
VZ023,-52.375,87.4375
VZ024,-52.125,87.4375
VZ025,-51.875,87.4375
VZ026,-51.625,87.4375
VZ027,-51.375,87.4375
VZ028,-51.125,87.4375
VZ029,-50.875,87.4375
VZ030,-50.625,87.4375
VZ031,-50.375,87.4375
VZ032,-50.125,87.4375
VZ033,-49.875,87.4375
VZ034,-49.625,87.4375
VZ035,-49.375,87.4375
VZ036,-49.125,87.4375
VZ037,-48.875,87.4375
VZ038,-48.625,87.4375
VZ039,-48.375,87.4375
VZ040,-48.125,87.4375
VZ041,-47.875,87.4375
VZ042,-47.625,87.4375
VZ043,-47.375,87.4375
VZ044,-47.125,87.4375
VZ045,-46.875,87.4375
VZ046,-46.625,87.4375
VZ047,-46.375,87.4375
VZ048,-46.125,87.4375
VZ049,-45.875,87.4375
VZ050,-45.625,87.4375
VZ051,-45.375,87.4375
VZ052,-45.125,87.4375
VZ053,-44.875,87.4375
VZ054,-44.625,87.4375
VZ055,-44.375,87.4375
VZ056,-44.125,87.4375
VX353,-79.875,87.3125
VX354,-79.625,87.3125
VX355,-79.375,87.3125
VX356,-79.125,87.3125
VX357,-78.875,87.3125
VX358,-78.625,87.3125
VX359,-78.375,87.3125
VX360,-78.125,87.3125
VX361,-77.875,87.3125
VX362,-77.625,87.3125
VX363,-77.375,87.3125
VX364,-77.125,87.3125
VX365,-76.875,87.3125
VX366,-76.625,87.3125
VX367,-76.375,87.3125
VX368,-76.125,87.3125
VX369,-75.875,87.3125
VX370,-75.625,87.3125
VX371,-75.375,87.3125
VX372,-75.125,87.3125
VX373,-74.875,87.3125
VX374,-74.625,87.3125
VX375,-74.375,87.3125
VX376,-74.125,87.3125
VX377,-73.875,87.3125
VX378,-73.625,87.3125
VX379,-73.375,87.3125
VX380,-73.125,87.3125
VX381,-72.875,87.3125
VX382,-72.625,87.3125
