locality,locality_dk,municipality,alias,settlement_size,geo_district,geo_lon,geo_lat
Nerlerit Inaat,Constabel Pynt,Sermersooq,NRI,Bygd,Illoqqortoormiut,-22.65236503,70.73238537
UKENDT,UKENDT,,,,,,
Sirius,Sirius slædepatrulje,UFK,SIR,Station,,,
Akunnaaq,Akunnaaq,Qaasuitsup,AKU,Bygd,Aasiaat,-52.33635385,68.74312431
Kitsissuarsuit,Hunde Ejlande,Qaasuitsup,KIT,Bygd,Aasiaat,-53.11863439,68.85952923
Ikkatteq,Ikkatteq,Sermersooq,IKT,Bygd,Tasiilaq,-37.9468045,65.63611203
Isortoq,Isortoq,Sermersooq,ISO,Bygd,Tasiilaq,-38.9674359,65.53271905
Kulusuk,Kap Dan,Sermersooq,KUL,Bygd,Tasiilaq,-37.18005379,65.56854907
Kuummiut,Kuummiut,Sermersooq,KUM,Bygd,Tasiilaq,-37.01369998,65.88283141
Qernertuarsuit,Qernertuarsuit,Sermersooq,QNS,Bygd,Tasiilaq,-37.28958027,65.71471223
Sermiligaaq,Sermiligaaq,Sermersooq,SML,Bygd,Tasiilaq,-36.37990668,65.91321849
Tiniteqilaaq,Tiniteqilaaq,Sermersooq,TIN,Bygd,Tasiilaq,-37.76810348,65.88236357
Itserajivit,Itserajivit,Sermersooq,ITR,Bygd,Illoqqortoormiut,-22.38335565,70.46656633
Uunarteq,Uunarteq,Sermersooq,UUN,Bygd,Illoqqortoormiut,-21.9806159,70.41849537
Ilimanaq,Claushavn,Qaasuitsup,ILQ,Bygd,Ilulissat,-51.11457398,69.07805646
Oqaatsut,Rodebay,Qaasuitsup,OQA,Bygd,Ilulissat,-51.00449772,69.34191375
Qeqertaq,Qeqertaq,Qaasuitsup,QQT,Bygd,Ilulissat,-51.30519353,69.99778088
Saqqaq,Saqqaq,Qaasuitsup,SQQ,Bygd,Ilulissat,-51.95939141,70.00983468
Kangilinnguit,Grønnedal,Sermersooq,KNL,Station,Ivittuut,-48.09616763,61.23274114
Attu,Attu,Qaasuitsup,KAT,By,Kangaatsiaq,-53.45600227,68.3095619
Iginniarfik,Iginniarfik,Qaasuitsup,IGF,Bygd,Kangaatsiaq,-53.17570805,68.14853935
"Ikerasaarsuk, Kangaatsiaq","Ikerasaarsuk, Kangaatsiaq",Qaasuitsup,IKS,Bygd,Kangaatsiaq,-53.44989759,68.13989251
Niaqornaarsuk,Niaqornaarsuk,Qaasuitsup,NQK,Bygd,Kangaatsiaq,-52.85875263,68.23611517
Atammik,Atammik,Qeqqata,ATA,Bygd,Maniitsoq,-52.17521818,64.80610588
Kangaamiut,Kangaamiut,Qeqqata,KAM,Bygd,Maniitsoq,-53.34688386,65.82800664
Napasoq,Napasoq,Qeqqata,NAP,Bygd,Maniitsoq,-52.38256093,65.05423716
